Kategori,Jumlah SKU,Jumlah Merk,Rata-Rata Penjualan Mingguan,Rata-Rata Promosi Mingguan
Susu Bubuk,86,14,567,15
Biskuit,37,27,362,8
Sirup,29,11,782,7
Soda,53,7,624,9
Cokelat,67,21,449,6
Roti,64,15,341,9
Sereal,107,11,972,20
Mie Instan,186,8,765,25
Kopi Bubuk,165,9,378,18
Sarden Kaleng,86,5,246,5
Jus Kemasan,109,15,289,13
Buah Kering,172,21,480,15
Beras,134,19,290,7
Teh,184,23,580,6
Pasta,152,22,573,26
Mayones,180,13,665,18
Kecap,165,8,238,10
Penyedap Rasa,79,3,138,8
Saos,194,20,456,20
Garam,139,10,304,6
Gula,168,13,478,16
Kaldu Jamur,98,11,386,14
Selai,186,22,467,13
Permen,179,18,348,5
Gulali,65,5,276,3
Makaroni,162,8,568,15
Marshmallow,132,10,397,9
Kuaci,73,3,238,8
Yogurt,195,8,369,22
Keju,168,12,679,13
Nugget,175,13,789,15
Air Mineral,195,8,923,20
Minuman Isotonik,164,17,685,18
Keripik,172,20,876,18
Susu Kemasan,154,12,687,13
Kopi Kemasan,189,11,389,15
Kacang,165,10,478,17
Buah-Buahan,179,13,567,8
Sayur-Sayuran,196,11,267,11
Ice Cream,174,16,465,6
Kornet,136,9,585,9
Daging Segar,184,8,765,21
Minyak Goreng,179,13,568,8
Kentang Goreng,163,7,349,13
Telur,193,9,465,15
Seafood Segar,136,18,675,20
Mentega,120,15,367,6
Krim,42,10,209,8
Bihun,113,13,549,7
